date,BABA
2019-04-15,183.07
2019-04-16,185.78
2019-04-17,187.55
2019-04-18,186.94
2019-04-22,185.38
2019-04-23,187.29
2019-04-24,185.67
2019-04-25,187.88
2019-04-26,187.09
2019-04-29,186.94
2019-04-30,185.57
2019-05-01,189.31
2019-05-02,190.39
2019-05-03,195.21
2019-05-06,188.24
2019-05-07,181.43
2019-05-08,179.59
2019-05-09,179.04
2019-05-10,178.0
2019-05-13,170.01
2019-05-14,174.84
2019-05-15,177.6
2019-05-16,175.57
2019-05-17,169.57
2019-05-20,160.65
2019-05-21,163.43
2019-05-22,158.83
2019-05-23,156.0
2019-05-24,155.0
2019-05-28,154.81
2019-05-29,152.48
2019-05-30,151.07
2019-05-31,149.26
2019-06-03,149.91
2019-06-04,154.15
2019-06-05,151.65
2019-06-06,151.5
2019-06-07,154.23
2019-06-10,159.85
2019-06-11,162.65
2019-06-12,160.04
2019-06-13,160.33
2019-06-14,158.1
2019-06-17,159.91
2019-06-18,165.51
2019-06-19,165.46
2019-06-20,168.25
2019-06-21,167.55
2019-06-24,168.1
2019-06-25,165.8
2019-06-26,168.99
2019-06-27,170.9
2019-06-28,169.45
2019-07-01,175.05
2019-07-02,175.45
2019-07-03,174.67
2019-07-05,173.3
2019-07-08,168.45
2019-07-09,168.8
2019-07-10,166.93
2019-07-11,166.55
2019-07-12,169.07
2019-07-15,173.5
2019-07-16,174.19
2019-07-17,174.82
2019-07-18,172.8
2019-07-19,172.99
2019-07-22,174.0
2019-07-23,178.09
2019-07-24,178.67
2019-07-25,177.29
2019-07-26,178.74
2019-07-29,177.02
2019-07-30,174.1
2019-07-31,173.11
2019-08-01,165.65
2019-08-02,161.0
2019-08-05,153.67
2019-08-06,157.43
2019-08-07,159.17
2019-08-08,162.22
2019-08-09,159.12
2019-08-12,159.31
2019-08-13,164.03
2019-08-14,162.06
2019-08-15,166.97
2019-08-16,174.6
2019-08-19,178.28
2019-08-20,177.21
2019-08-21,175.24
2019-08-22,171.91
2019-08-23,164.54
2019-08-26,165.9
2019-08-27,166.2
2019-08-28,167.48
2019-08-29,172.81
2019-08-30,175.03
2019-09-03,172.41
2019-09-04,174.33
2019-09-05,178.94
2019-09-06,176.69
2019-09-09,177.78
2019-09-10,174.99
2019-09-11,176.09
2019-09-12,178.24
2019-09-13,179.17
2019-09-16,177.07
2019-09-17,179.0
2019-09-18,180.0
2019-09-19,180.46
2019-09-20,182.51
2019-09-23,176.98
2019-09-24,171.55
2019-09-25,176.66
2019-09-26,175.0
2019-09-27,165.98
2019-09-30,167.23
2019-10-01,165.15
2019-10-02,165.77
2019-10-03,169.48
